dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,52.191997,10.750999,1.452794,1.850012,1.175982,-0.014735,3.250340
0.020000,52.154754,10.746880,1.490264,1.873525,1.175613,-0.018449,3.253154
0.020000,52.117055,10.742602,1.528205,1.897028,1.175172,-0.022077,3.256003
0.020000,52.078902,10.738162,1.566615,1.920521,1.174660,-0.025615,3.258885
0.020000,52.040296,10.733556,1.605495,1.944003,1.174078,-0.029063,3.261801
0.020000,52.001238,10.728780,1.644845,1.967472,1.173430,-0.032420,3.264752
0.020000,51.961728,10.723829,1.684663,1.990926,1.172716,-0.035683,3.267735
0.020000,51.921768,10.718701,1.724951,2.014388,1.173128,0.020584,3.270752
0.020000,51.881358,10.713389,1.765708,2.037867,1.173945,0.040826,3.273802
0.020000,51.840501,10.707892,1.806934,2.061280,1.170639,-0.165260,3.276885
0.020000,51.799197,10.702204,1.848627,2.084673,1.169665,-0.048706,3.280000
0.020000,51.757448,10.696321,1.890788,2.108064,1.169535,-0.006527,3.283147
0.020000,51.715254,10.690240,1.933419,2.131515,1.172529,0.149700,3.286327
0.020000,51.672618,10.683955,1.976516,2.154850,1.166777,-0.287560,3.289539
0.020000,51.629540,10.677464,2.020080,2.178191,1.167017,0.011983,3.292782
0.020000,51.586022,10.670761,2.064111,2.201590,1.169980,0.148134,3.296056
0.020000,51.542066,10.663842,2.108609,2.224857,1.163334,-0.332267,3.299361
0.020000,51.497672,10.656704,2.153573,2.248222,1.168234,0.244983,3.302697
0.020000,51.452843,10.649341,2.199002,2.271471,1.162462,-0.288598,3.306063
0.020000,51.407579,10.641750,2.244898,2.294778,1.165370,0.145413,3.309459
0.020000,51.361885,10.633926,2.291258,2.317993,1.160718,-0.232599,3.312884
0.020000,51.315758,10.625864,2.338083,2.341275,1.164105,0.169348,3.316339
0.020000,51.269204,10.617562,2.385372,2.364432,1.157859,-0.312339,3.319822
0.020000,51.222222,10.609013,2.433125,2.387678,1.162295,0.221834,3.323333
0.020000,51.174815,10.600214,2.481342,2.410823,1.157276,-0.250946,3.326873
0.020000,51.126986,10.591161,2.530021,2.433937,1.155691,-0.079290,3.330440
0.020000,51.078734,10.581849,2.579163,2.457116,1.158923,0.161607,3.334034
0.020000,51.030063,10.572274,2.628767,2.480193,1.153893,-0.251462,3.337654
0.020000,50.980975,10.562432,2.678832,2.503247,1.152696,-0.059883,3.341301
