dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,52.422630,8.638552,1.221651,1.554644,0.992661,0.021446,3.250340
0.020000,52.391331,8.635090,1.253142,1.574506,0.993071,0.020501,3.253154
0.020000,52.359646,8.631495,1.285029,1.594375,0.993464,0.019694,3.256003
0.020000,52.327578,8.627763,1.317314,1.614252,0.993845,0.019027,3.258885
0.020000,52.295125,8.623891,1.349997,1.634136,0.994215,0.018500,3.261801
0.020000,52.262289,8.619876,1.383077,1.654028,0.994577,0.018114,3.264752
0.020000,52.229070,8.615713,1.416556,1.673926,0.994935,0.017870,3.267735
0.020000,52.195469,8.611401,1.450433,1.693852,0.996290,0.067749,3.270752
0.020000,52.161485,8.606934,1.484709,1.713813,0.998038,0.087427,3.273802
0.020000,52.127120,8.602310,1.519384,1.733740,0.996374,-0.083194,3.276885
0.020000,52.092374,8.597525,1.554457,1.753675,0.996725,0.017557,3.280000
0.020000,52.057249,8.592576,1.589930,1.773632,0.997843,0.055860,3.283147
0.020000,52.021742,8.587458,1.625803,1.793665,1.001647,0.190233,3.286327
0.020000,51.985858,8.582169,1.662076,1.813628,0.998152,-0.174761,3.289539
0.020000,51.949594,8.576705,1.698748,1.833623,0.999757,0.080271,3.292782
0.020000,51.912953,8.571061,1.735822,1.853697,1.003718,0.198013,3.296056
0.020000,51.875935,8.565234,1.773296,1.873690,0.999651,-0.203347,3.299361
0.020000,51.838539,8.559221,1.811172,1.893798,1.005369,0.285917,3.302697
0.020000,51.800768,8.553017,1.849449,1.913841,1.002164,-0.160248,3.306063
0.020000,51.762622,8.546620,1.888128,1.933968,1.006337,0.208653,3.309459
0.020000,51.724101,8.540024,1.927209,1.954052,1.004206,-0.106546,3.312884
0.020000,51.685206,8.533226,1.966694,1.974230,1.008919,0.235651,3.316339
0.020000,51.645939,8.526223,2.006581,1.994342,1.005578,-0.167053,3.319822
0.020000,51.606298,8.519011,2.046872,2.014568,1.011317,0.286929,3.323333
0.020000,51.566287,8.511584,2.087567,2.034751,1.009150,-0.108350,3.326873
0.020000,51.525905,8.503941,2.128666,2.054950,1.009949,0.039947,3.330440
0.020000,51.485152,8.496076,2.170171,2.075248,1.014889,0.247009,3.334034
0.020000,51.444030,8.487986,2.212081,2.095506,1.012926,-0.098151,3.337654
0.020000,51.402540,8.479667,2.254397,2.115792,1.014271,0.067231,3.341301
0.020000,51.360682,8.471115,2.297119,2.136109,1.015865,0.079745,3.344973
0.020000,51.318458,8.462325,2.340249,2.156492,1.019155,0.164485,3.348671
0.020000,51.275867,8.453295,2.383786,2.176871,1.018952,-0.010169,3.352393
0.020000,51.232912,8.444019,2.427732,2.197276,1.020236,0.064222,3.356138
0.020000,51.189592,8.434494,2.472086,2.217713,1.021844,0.080377,3.359908
0.020000,51.145910,8.424716,2.516850,2.238182,1.023457,0.080649,3.363700
0.020000,51.101865,8.414681,2.562024,2.258683,1.025078,0.081078,3.367514
0.020000,51.057458,8.404384,2.607608,2.279218,1.026711,0.081657,3.371351
0.020000,51.012692,8.393823,2.653604,2.299785,1.028359,0.082384,3.375208
0.020000,50.967566,8.382992,2.700011,2.320385,1.030024,0.083253,3.379085
0.020000,50.922081,8.371888,2.746832,2.341019,1.031709,0.084260,3.382983
0.020000,50.876239,8.360507,2.794065,2.361688,1.033417,0.085398,3.386899
0.020000,50.830040,8.348844,2.841713,2.382391,1.035151,0.086664,3.390834
0.020000,50.783486,8.336897,2.889776,2.403129,1.036912,0.088050,3.394787
0.020000,50.736578,8.324660,2.938254,2.423926,1.039836,0.146204,3.398757
